excerpt_a,excerpt_b,pair_id,symbolic_similarity,embedding_similarity,similarity_gap,similarity_mean,symbolic_global_similarity,symbolic_core_similarity,pitch_similarity,rhythm_similarity,texture_similarity,harmony_similarity,experimental_chromaticism_similarity,experimental_texture_similarity,experimental_rhythm_similarity,experimental_phrase_similarity,experimental_musicological_similarity,title_a,composer_a,title_b,composer_b
chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m035_req064,chopin-prelude-a-major-op-28-7-mvt1_m001_m034_req064,chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m035_req064__chopin-prelude-a-major-op-28-7-mvt1_m001_m034_req064,0.9698857901715896,0.9370793466715501,-0.03280644350003947,0.9534825684215699,0.9698857901715896,0.9698857901715896,0.9879603882780122,0.9351471898622886,0.9654355303177666,0.9999985087124834,0.980747913064541,0.9573237441187471,0.6597943449730714,0.8929410882827037,0.7573679046619364,Nocturne No. 2.,"Chopin, Fryderyk",Preludium No. 1,"Chopin, Fryderyk"
chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m035_req064,chopin-prelude-b-minor-op-28-6-mvt1_m001_m026_req032,chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m035_req064__chopin-prelude-b-minor-op-28-6-mvt1_m001_m026_req032,0.9769308349677279,0.8012694531312405,-0.17566138183648738,0.8891001440494842,0.9769308349677279,0.9769308349677279,0.9922282534620782,0.8143663744004859,0.9734188142533443,0.999992517284061,0.9977861628489715,0.9638018338069992,0.9966341138684272,0.9862713070087245,0.8278863570338654,Nocturne No. 2.,"Chopin, Fryderyk",Preludium No. 6,"Chopin, Fryderyk"
chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m035_req064,chopin-prelude-b-minor-op-28-6-mvt1_m001_m026_req064,chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m035_req064__chopin-prelude-b-minor-op-28-6-mvt1_m001_m026_req064,0.9769308349677279,0.7748142036992158,-0.2021166312685121,0.8758725193334719,0.9769308349677279,0.9769308349677279,0.9922282534620782,0.8143663744004859,0.9734188142533443,0.999992517284061,0.9977861628489715,0.9638018338069992,0.9966341138684272,0.9862713070087245,0.8278863570338654,Nocturne No. 2.,"Chopin, Fryderyk",Preludium No. 6,"Chopin, Fryderyk"
chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m035_req064,chopin-prelude-e-minor-op-28-4-mvt1_m001_m026_req032,chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m035_req064__chopin-prelude-e-minor-op-28-4-mvt1_m001_m026_req032,0.9892478639807265,0.7914261896385011,-0.19782167434222542,0.8903370268096138,0.9892478639807265,0.9892478639807265,0.9976069770250547,0.9470485780010477,0.9782991520005986,0.9999914840893666,0.9913749130376515,0.9738122706069214,0.9999760105144118,0.9713454375306313,0.9681845911802816,Nocturne No. 2.,"Chopin, Fryderyk",Prelude no. 4,"Chopin, Fryderyk"
chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m035_req064,chopin-prelude-e-minor-op-28-4-mvt1_m001_m026_req064,chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m035_req064__chopin-prelude-e-minor-op-28-4-mvt1_m001_m026_req064,0.9892478639807265,0.7617693754378467,-0.22747848854287978,0.8755086197092866,0.9892478639807265,0.9892478639807265,0.9976069770250547,0.9470485780010477,0.9782991520005986,0.9999914840893666,0.9913749130376515,0.9738122706069214,0.9999760105144118,0.9713454375306313,0.9681845911802816,Nocturne No. 2.,"Chopin, Fryderyk",Prelude no. 4,"Chopin, Fryderyk"
chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m035_req064,chopin-prelude-raindrop-d-flat-major-op-28-15-mvt1_m001_m032,chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m035_req064__chopin-prelude-raindrop-d-flat-major-op-28-15-mvt1_m001_m032,0.9763570373002048,0.852785610381765,-0.12357142691843981,0.9145713238409849,0.9763570373002048,0.9763570373002048,0.9963935763777115,0.978739551785359,0.9939354081306576,0.9999994250311008,0.9911753919617874,0.9997432108742749,0.9926728411179738,0.9765788605898611,0.882604712832221,Nocturne No. 2.,"Chopin, Fryderyk",Prelude No. 15.,"Chopin, Fryderyk"
chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m035_req064,chopin-prelude-raindrop-d-flat-major-op-28-15-mvt1_m001_m064,chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m035_req064__chopin-prelude-raindrop-d-flat-major-op-28-15-mvt1_m001_m064,0.9837813606742002,0.8442203370642131,-0.13956102360998712,0.9140008488692066,0.9837813606742002,0.9837813606742002,0.9999438535368913,0.9666077317334105,0.9754254401444662,0.9999998404245127,0.992766939848047,0.9765292407609154,0.9961509983925149,0.9532278260825138,0.8219686847248432,Nocturne No. 2.,"Chopin, Fryderyk",Prelude No. 15.,"Chopin, Fryderyk"
chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m035_req064,mozart-1st-movement-allegro-from-piano-sonata-facile-c-major-kv-545-mvt1_m001_m032,chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m035_req064__mozart-1st-movement-allegro-from-piano-sonata-facile-c-major-kv-545-mvt1_m001_m032,0.9616040256196051,0.915031096155118,-0.0465729294644871,0.9383175608873615,0.9616040256196051,0.9616040256196051,0.9969967778714207,0.7906512952195969,0.9552744230405062,0.9999996893217905,0.9832338264457015,0.9353103099945269,0.997776869787275,0.9759180045371235,0.8290976144556487,Nocturne No. 2.,"Chopin, Fryderyk",Piano Sonata No. 15 in C major,"Mozart, Wolfgang Amadeus"
chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m035_req064,mozart-1st-movement-allegro-from-piano-sonata-facile-c-major-kv-545-mvt1_m001_m064,chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m035_req064__mozart-1st-movement-allegro-from-piano-sonata-facile-c-major-kv-545-mvt1_m001_m064,0.9583043195461558,0.9131683649480105,-0.045135954598145345,0.9357363422470831,0.9583043195461558,0.9583043195461558,0.9999093497319126,0.7842389288665503,0.968331782696389,0.999999494615156,0.9825721770508092,0.9563634831241867,0.9969526381171114,0.9454214158591968,0.799002811675416,Nocturne No. 2.,"Chopin, Fryderyk",Piano Sonata No. 15 in C major,"Mozart, Wolfgang Amadeus"
chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m035_req064,mozart-fantasy-d-minor-kv-397-385g-mvt1_m001_m032,chopin-nocturne-e-flat-major-op-9-2-mvt1_m001_m035_req064__mozart-fantasy-d-minor-kv-397-385g-mvt1_m001_m032,0.9766776603438068,0.8220461659801238,-0.15463149436368295,0.8993619131619652,0.9766776603438068,0.9766776603438068,0.9947488808229854,0.9491686254445543,0.9490498659095207,0.9999995569337217,0.9903238064485285,0.9357862186949754,0.9985386954781785,0.9924463527299008,0.8968778668282461,Nocturne No. 2.,"Chopin, Fryderyk",Fantasy in D minor,Wolfgang Amadeus Mozart (1756-1791)
