feature_name,min,max,mean,std,unique_values,coefficient_of_variation,near_constant
pitch_class_2,0.0883116883116883,0.2058823529411764,0.12430949559108237,0.035580848902089554,8,0.28622792436656,False
pitch__melodic_interval_entropy,0.8595257026402421,2.4282718403884616,1.7154574195333194,0.49962853791943507,8,0.29125091199020037,False
rhythm__duration_entropy,0.5608217485593017,1.3436502073570962,0.9301929083648184,0.27362585789272875,8,0.2941603353800389,False
rhythm__ioi_bin_duration_bin_lt_0_25,0.3333333333333333,1.0,0.8083062770562771,0.2538688832570854,5,0.31407511046633896,False
pitch__pitch_class_9,0.0919117647058823,0.2248803827751196,0.1485663023758796,0.04690953544708273,8,0.3157481521509463,False
pitch_class_9,0.0919117647058823,0.2248803827751196,0.1485663023758796,0.04690953544708273,8,0.3157481521509463,False
harmony__common_name_minor_third,0.0448717948717948,0.088235294117647,0.0665535444947209,0.021681749622926096,2,0.32577903682719583,False
harmony__common_name_dominant_seventh_chord,0.0833333333333333,0.1929824561403508,0.1558733790999237,0.051298133115756886,3,0.3291013091008431,False
texture__vertical_interval_1,0.0381050463439752,0.1141975308641975,0.06702773428053645,0.02221845451771676,8,0.3314815092022075,False
measure_end,8.0,16.0,12.0,4.0,2,0.3333333333333333,False
requested_measure_end,8.0,16.0,12.0,4.0,2,0.3333333333333333,False
harmony__common_name_perfect_eleventh,0.0384615384615384,0.081081081081081,0.059771309771309705,0.0213097713097713,2,0.356521739130435,False
metadata__title_length,13.0,30.0,21.75,7.790218225441442,4,0.3581709528938594,False
texture__register_span_mean,11.466666666666669,31.75,16.86798878205128,6.093418730011664,8,0.36124156879304353,False
texture__vertical_interval_6,0.0240549828178694,0.0679012345679012,0.044787051351654124,0.016219377288940212,8,0.36214434305108995,False
pitch__pitch_class_5,0.0334928229665071,0.1229508196721311,0.06894488900563422,0.02536453178959982,8,0.36789575203358454,False
pitch_class_5,0.0334928229665071,0.1229508196721311,0.06894488900563422,0.02536453178959982,8,0.36789575203358454,False
texture__mean_notes_per_onset,8.133333333333333,32.083333333333336,20.91951121794872,8.092378003228815,8,0.3868339904751522,False
texture__vertical_interval_12_plus,0.1265432098765432,0.4634397528321318,0.27798275966930475,0.1090570297838243,8,0.3923158037338764,False
harmony__common_name_kumoi_pentachord,0.0769230769230769,0.1764705882352941,0.12669683257918551,0.0497737556561086,2,0.3928571428571429,False
texture__max_notes_per_onset,19.0,66.0,39.875,15.940808480124213,8,0.39976949166455705,False
note_density,3.8125,12.0,7.271895094332956,2.9202365470078973,7,0.4015784756416054,False
interval_1,0.0210526315789473,0.2017543859649122,0.13841153187347466,0.05583509535055145,8,0.40339915753256506,False
pitch__melodic_interval_1,0.0210526315789473,0.2017543859649122,0.13841153187347466,0.05583509535055145,8,0.40339915753256506,False
rhythm__rhythmic_diversity,0.015625,0.0684931506849315,0.0400787461567332,0.016595706317905093,8,0.4140774826888397,False
rhythmic_diversity,0.015625,0.0684931506849315,0.0400787461567332,0.016595706317905093,8,0.4140774826888397,False
harmony__common_name_other,0.1470588235294117,0.527027027027027,0.30772218189487444,0.12997530905659174,8,0.42237874519229346,False
texture__onset_density_per_quarter,0.1967213114754098,0.75,0.3801936122102883,0.16359954976780317,7,0.43030588761526817,False
texture__mean_active_notes,15.25,58.75,35.0104165,15.129443707070553,8,0.4321412088048297,False
rhythm__beat_position_other,0.3013698630136986,0.75,0.4284714964066254,0.1863652829774094,7,0.43495374730959036,False
rhythm__beat_position_1,0.0833333333333333,0.2876712328767123,0.1658938531086251,0.0740356609781477,7,0.4462833287118248,False
harmony__dissonant_verticality_ratio,0.225,0.8947368421052632,0.5005721266793178,0.22382828668547416,8,0.4471449262872473,False
texture__single_note_event_ratio,0.2328767123287671,1.0,0.6783156254777024,0.31217036309927904,7,0.4602140233455977,False
texture__bass_motion_rate,1.3125,5.9375,3.237540409482759,1.503377912842518,8,0.46435803810791754,False
chordified_chord_count,48.0,208.0,107.375,50.69994452659687,8,0.47217643330940046,False
harmony__chordified_event_count,48.0,208.0,107.375,50.69994452659687,8,0.47217643330940046,False
note_count,96.0,441.0,237.75,113.6659029788617,8,0.4780900230446338,False
pitch__note_count,96.0,441.0,237.75,113.6659029788617,8,0.4780900230446338,False
harmony__triad_ratio,0.1013513513513513,0.3970588235294117,0.19311205890078553,0.10281210126547442,8,0.5323960701920527,False
metadata__highest_time_quarter_lengths,8.0,64.0,38.25,20.668514702319566,6,0.5403533255508384,False
total_duration_quarter_lengths,8.0,64.0,38.25,20.668514702319566,6,0.5403533255508384,False
